Gene ID	Gene name	Cohort	Count
ENSG00000066468	FGFR2	TCGA-UCEC	35
ENSG00000055609	KMT2C	TCGA-LUSC	35
ENSG00000026103	FAS	TCGA-CESC	35
ENSG00000167548	KMT2D	TCGA-OV	34
ENSG00000162434	JAK1	TCGA-UCEC	34
ENSG00000157404	KIT	TCGA-STAD	34
ENSG00000141646	SMAD4	TCGA-STAD	34
ENSG00000138413	IDH1	TCGA-SARC	34
ENSG00000129204	USP6	TCGA-PRAD	34
ENSG00000116044	NFE2L2	TCGA-HNSC	34
ENSG00000114861	FOXP1	TCGA-PRAD	34
ENSG00000108821	COL1A1	TCGA-CESC	34
ENSG00000108375	RNF43	TCGA-COAD	34
ENSG00000103197	TSC2	TCGA-BLCA	34
ENSG00000099949	LZTR1	TCGA-PRAD	34
ENSG00000083168	KAT6A	TCGA-PRAD	34
ENSG00000066468	FGFR2	TCGA-LUSC	34
ENSG00000055609	KMT2C	TCGA-THCA	34
ENSG00000197888	UGT2B17	TCGA-OV	33
ENSG00000196712	NF1	TCGA-PCPG	33
ENSG00000196712	NF1	TCGA-LUSC	33
ENSG00000196367	TRRAP	TCGA-HNSC	33
ENSG00000196090	PTPRT	TCGA-HNSC	33
ENSG00000189283	FHIT	TCGA-STAD	33
ENSG00000189079	ARID2	TCGA-STAD	33
ENSG00000177426	TGIF1	TCGA-COAD	33
ENSG00000173039	RELA	TCGA-STAD	33
ENSG00000171862	PTEN	TCGA-CESC	33
ENSG00000169032	MAP2K1	TCGA-BLCA	33
ENSG00000168702	LRP1B	TCGA-TGCT	33
ENSG00000162434	JAK1	TCGA-OV	33
ENSG00000157168	NRG1	TCGA-STAD	33
ENSG00000148400	NOTCH1	TCGA-UCEC	33
ENSG00000147889	CDKN2A	TCGA-BLCA	33
ENSG00000145675	PIK3R1	TCGA-UCEC	33
ENSG00000141736	ERBB2	TCGA-OV	33
ENSG00000141510	TP53	TCGA-UCEC	33
ENSG00000141510	TP53	TCGA-PRAD	33
ENSG00000141510	TP53	TCGA-KICH	33
ENSG00000138829	FBN2	TCGA-HNSC	33
ENSG00000138592	USP8	TCGA-LUSC	33
ENSG00000135605	TEC	TCGA-UCEC	33
ENSG00000134982	APC	TCGA-UVM	33
ENSG00000134982	APC	TCGA-STAD	33
ENSG00000134982	APC	TCGA-SKCM	33
ENSG00000133703	KRAS	TCGA-BLCA	33
ENSG00000131747	TOP2A	TCGA-STAD	33
ENSG00000115760	BIRC6	TCGA-TGCT	33
